Name,Sector,City,Address,Phone,Email,Lat-Long
Rytways Software Technologies,Companies(Private),Arcot,"39-40, 2nd Floor, Opposite To Faith Multispeciality Hospital, Sannathi Street, Villivakkam, Chennai 600049, TN",+91-44-42829441,",mailtotml@gmail.com,",
Ajit Solar Pvt Ltd,Companies(Private),Arcot,"National Motors Bulding, MI Road, Jaipur 302001, RJ",+91-141-2371166,",ajitsolar@ajitgroup.com,kvikumari@atspl.com.in,",
AVS,Companies(Private),Arcot,"G-6, Pankaj Chambers, H Block Market, Sarita Vihar, New Delhi 110076, DL","+91-9311111197, +91-11-46536969",",roc.chennai@mca.gov.in,info_infotech@yahoo.co.in,",
PlatOz HR Pvt Ltd,Companies(Private),Arcot,"202, Jai Commercial Complex, Near Eastern Express Highway, Khopat, Thane West, Mumbai 400601, MH","+91-22-25379974, +91-22-25382795","cam.ahmedabad@cyrilshroff.com,",
IBC Verification Services Pvt Ltd,Companies(Private),Arcot,"2, 2nd Floor, O.K Business Chambers, Johns Church Road, Bangalore 560005, KA","+91-80-65833111, +91-80-65833501","admin@icsconsultancy.com,",
Hardicon Ltd,Companies(Private),Arcot,"28-D, Flatted Factory Complex, Jhandewalan, New Delhi 110055, DL","+91-11-23636224, +91-11-23638814","thheanurag@gmail.com,last@headhonchos.com,",
Brookfield Global Relocation Services,Companies(Private),Arcot,"Old Madras Road, Bemmiganahalli, Bangalore 560016, KA",+91-80-67974700,"paromita.dey@edumorphs.com,infokumarkochi@gmail.com,sasiknambiar@imtpconsult.com,info@bukharimanpower.com,",
Atiitya Training & HR Consultants Pvt Ltd,Companies(Private),Arcot,"632, 6th Floor, Nirmal Galaxy, Opposite Johnson & Johnson, LBS Marg, Mulund West, Mumbai 400080, MH",+91-22-65803153,"manish@avanceservices.com,jane.doe@avanceservices.com,last@avanceservices.com,x3ejane.doe@avanceservices.com,",
Al Samit International,Companies(Private),Arcot,"17, Arabian Appatments, Bhagoji Keer Marg, Mahim, Mumbai 400016, MH",+91-22-43600777,"aksgupta@allegisgroup.com,x3engopal@allegisgroup.com,ngopal@allegisgroup.com,",
SREI Infrastructure Finance Ltd,Companies(Private),Arcot,"86C, Topsia Road, Vishwakarma, Kolkata 700046, WB","1800-419-7734, +91-33-22850112, +91-33-22850115, +91-33-61607734","info.retail@ambit.co,STAR_GHAZIABAD@STARFINVEST.IN,",
